TIME,DATE,"ActTmpBrlZn[1,1]",Upper limit,Lower Limit,Setpoint
14:14:05,20200724,220,230,210,220
14:14:09,20200724,220,230,210,220
14:14:09,20200724,220,230,210,220
14:14:09,20200724,220,230,210,220
14:14:09,20200724,220,230,210,220
14:14:09,20200724,220,230,210,220
14:14:09,20200724,220,230,210,220
14:14:19,20200724,220,230,210,220
14:14:19,20200724,220,230,210,220
14:14:19,20200724,220,230,210,220
14:14:19,20200724,220,230,210,220
14:14:29,20200724,220,230,210,220
14:14:29,20200724,220,230,210,220
14:14:29,20200724,220,230,210,220
14:14:29,20200724,220,230,210,220
14:14:44,20200724,220,230,210,220
14:14:44,20200724,220,230,210,220
14:14:44,20200724,220,230,210,220
14:14:44,20200724,220,230,210,220
14:14:54,20200724,220,230,210,220
14:14:54,20200724,220,230,210,220
14:14:54,20200724,220,230,210,220
14:14:54,20200724,220,230,210,220
14:15:04,20200724,220,230,210,220
14:15:04,20200724,220,230,210,220
14:15:04,20200724,220,230,210,220
14:15:05,20200724,220,230,210,220
14:15:19,20200724,220,230,210,220
14:15:19,20200724,220,230,210,220
14:15:19,20200724,220,230,210,220
14:15:20,20200724,220,230,210,220
14:15:29,20200724,220,230,210,220
14:15:29,20200724,220,230,210,220
14:15:30,20200724,220,230,210,220
14:15:30,20200724,220,230,210,220
14:15:44,20200724,220,230,210,220
14:15:45,20200724,220,230,210,220
14:15:45,20200724,220,230,210,220
14:15:45,20200724,220,230,210,220
14:15:54,20200724,220.1,230,210,220
14:15:55,20200724,220.1,230,210,220
14:15:55,20200724,220.1,230,210,220
14:15:55,20200724,220.1,230,210,220
14:16:05,20200724,220,230,210,220
14:16:05,20200724,220,230,210,220
14:16:05,20200724,220,230,210,220
14:16:05,20200724,220,230,210,220
14:16:15,20200724,220,230,210,220
14:16:15,20200724,220,230,210,220
14:16:15,20200724,220,230,210,220
14:16:15,20200724,220,230,210,220
14:16:30,20200724,220,230,210,220
14:16:30,20200724,220,230,210,220
14:16:30,20200724,220,230,210,220
14:16:30,20200724,220,230,210,220
14:16:40,20200724,220,230,210,220
14:16:40,20200724,220,230,210,220
14:16:40,20200724,220,230,210,220
14:16:50,20200724,220,230,210,220
14:16:50,20200724,220,230,210,220
14:16:50,20200724,220,230,210,220
14:17:05,20200724,220,230,210,220
14:17:05,20200724,220,230,210,220
14:17:05,20200724,220,230,210,220
14:17:15,20200724,220,230,210,220
14:17:15,20200724,220,230,210,220
14:17:15,20200724,220,230,210,220
14:17:25,20200724,220,230,210,220
14:17:25,20200724,220,230,210,220
14:17:25,20200724,220,230,210,220
14:17:40,20200724,220,230,210,220
14:17:40,20200724,220,230,210,220
14:17:41,20200724,220,230,210,220
14:17:50,20200724,220,230,210,220
14:17:50,20200724,220,230,210,220
14:17:51,20200724,220,230,210,220
14:18:05,20200724,220,230,210,220
14:18:06,20200724,220,230,210,220
14:18:06,20200724,220,230,210,220
14:18:15,20200724,220,230,210,220
14:18:16,20200724,220,230,210,220
14:18:16,20200724,220,230,210,220
14:18:26,20200724,220,230,210,220
14:18:26,20200724,220,230,210,220
14:18:26,20200724,220,230,210,220
14:18:36,20200724,220,230,210,220
14:18:36,20200724,220,230,210,220
14:18:51,20200724,220,230,210,220
14:18:51,20200724,220,230,210,220
14:19:01,20200724,220,230,210,220
14:19:01,20200724,220,230,210,220
14:19:11,20200724,220,230,210,220
14:19:12,20200724,220,230,210,220
14:19:27,20200724,220,230,210,220
14:19:27,20200724,220,230,210,220
14:19:37,20200724,220,230,210,220
14:19:37,20200724,220,230,210,220
14:19:47,20200724,220,230,210,220
14:19:47,20200724,220,230,210,220
14:20:02,20200724,220,230,210,220
14:20:02,20200724,220,230,210,220
14:20:12,20200724,220,230,210,220
14:20:13,20200724,220,230,210,220
14:20:22,20200724,220,230,210,220
14:20:23,20200724,220,230,210,220
14:20:38,20200724,220,230,210,220
14:20:38,20200724,220,230,210,220
14:20:48,20200724,220,230,210,220
14:20:48,20200724,220,230,210,220
14:20:58,20200724,220,230,210,220
14:20:59,20200724,220,230,210,220
14:21:14,20200724,220,230,210,220
14:21:14,20200724,220,230,210,220
14:21:24,20200724,220,230,210,220
14:21:24,20200724,220,230,210,220
14:21:34,20200724,220,230,210,220
14:21:34,20200724,220,230,210,220
14:21:49,20200724,220,230,210,220
14:21:49,20200724,220,230,210,220
14:21:59,20200724,220,230,210,220
14:21:59,20200724,220,230,210,220
14:22:09,20200724,220,230,210,220
14:22:09,20200724,220,230,210,220
14:22:24,20200724,220,230,210,220
14:22:25,20200724,220,230,210,220
14:22:34,20200724,220,230,210,220
14:22:35,20200724,220,230,210,220
14:22:45,20200724,220,230,210,220
14:22:45,20200724,220,230,210,220
14:22:55,20200724,220,230,210,220
14:22:55,20200724,220,230,210,220
14:23:10,20200724,220,230,210,220
14:23:10,20200724,220,230,210,220
14:23:21,20200724,220,230,210,220
14:23:21,20200724,220,230,210,220
14:23:31,20200724,220,230,210,220
14:23:31,20200724,220,230,210,220
14:23:46,20200724,220,230,210,220
14:23:46,20200724,220,230,210,220
14:23:56,20200724,220,230,210,220
14:23:56,20200724,220,230,210,220
14:24:06,20200724,220,230,210,220
14:24:06,20200724,220,230,210,220
14:24:21,20200724,220,230,210,220
14:24:21,20200724,220,230,210,220
14:24:31,20200724,220,230,210,220
14:24:32,20200724,220,230,210,220
14:24:41,20200724,220,230,210,220
14:24:42,20200724,220,230,210,220
14:24:52,20200724,220,230,210,220
14:24:52,20200724,220,230,210,220
14:25:07,20200724,219.9,230,210,220
14:25:07,20200724,219.9,230,210,220
14:25:17,20200724,219.9,230,210,220
14:25:17,20200724,219.9,230,210,220
14:25:32,20200724,220,230,210,220
14:25:32,20200724,220,230,210,220
14:25:43,20200724,220,230,210,220
14:25:43,20200724,220,230,210,220
14:25:53,20200724,220,230,210,220
14:25:53,20200724,220,230,210,220
14:26:03,20200724,220,230,210,220
14:26:03,20200724,220,230,210,220
14:26:18,20200724,220,230,210,220
14:26:18,20200724,220,230,210,220
14:26:28,20200724,220,230,210,220
14:26:28,20200724,220,230,210,220
14:26:38,20200724,220.1,230,210,220
14:26:38,20200724,220.1,230,210,220
14:26:53,20200724,220.1,230,210,220
14:26:54,20200724,220.1,230,210,220
14:27:03,20200724,220,230,210,220
14:27:04,20200724,220,230,210,220
14:27:14,20200724,220,230,210,220
14:27:14,20200724,220,230,210,220
14:27:29,20200724,220,230,210,220
14:27:30,20200724,220,230,210,220
14:27:40,20200724,220,230,210,220
14:27:40,20200724,220,230,210,220
